@WordPOS	Ag,Bg,Dg,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
关中秋	nr:1,
关义胜	nr:1,
关乎	v:31,vn:2,
关也智	nr:1,
关于	p:2466,vn:1,
关亮	nr:1,
关仁山	nr:4,
关令	n:1,
关停	v:28,vn:3,
关停令	n:1,
关停并转	j:4,
关停率	n:1,
关僖	nr:1,
关克	nr:1,
关公	nr:27,
关公路	ns:1,
关内	f:1,s:4,
关凤霞	nr:1,
关切	v:35,an:6,a:26,vn:52,
关制钧	nr:1,
关勋添	nr:2,
关区	s:6,n:5,j:1,
关卡	n:9,
关友明	nr:1,
关口	n:25,
关向应	nr:1,
关员	n:16,
关在汉	nr:2,
关城	n:1,
关塔港	ns:1,
关塞	n:1,
关外	s:3,
关天培	nr:2,
关头	n:92,
关宣	nr:1,
关家祥	nr:1,
关富胤	nr:1,
关小波	nr:1,
关尔佳	nr:1,
关山	ns:2,n:2,
关山月	nr:12,
关山月美术馆	ns:2,
关山重重	l:3,
关峡	nr:1,
关帝庙	ns:3,
关帝矿	n:1,
关广富	nr:3,
关广生	nr:1,
关张	v:2,
关心	v:1113,a:1,vn:188,
关心下一代工委会	nt:1,
关心国	nr:3,
关念	v:1,
关怀	v:75,vn:239,
关怀备至	l:11,
关愚谦	nr:1,
关成华	nr:1,
关押	v:30,
关掉	v:4,
关新	nr:1,
关明成	nr:1,
关景华	nr:2,
关本忠弘	nr:2,
关机	v:1,
关村	ns:1,
关桂珍	nr:2,
关桥	nr:1,
关永实	nr:1,
关汝松	nr:1,
关治	nr:1,
关治瀛	nr:8,
关注	v:836,vn:409,
关注点	n:4,
关涉	v:4,
关灯	v:2,
关照	v:26,vn:10,
关爱	v:15,vn:14,
关牧村	nr:16,
关玉国	nr:1,
关登瀛	nr:1,
关礼杰	nr:1,
关禁	v:1,
关禁闭	v:1,
关福昌	nr:1,
关税	n:133,
关税区	s:1,n:1,
关税及贸易总协定	nz:1,
关税壁垒	n:6,l:7,
关窗	v:1,
关系	v:547,n:6820,vn:5,
关系人	n:2,
关系史	n:31,
关系型	n:1,
关系学	n:2,
关系式	n:1,
关系户	n:5,
关系案	n:7,
关系法	n:2,
关系网	n:9,
关系者	n:1,
关系部	n:4,
关累镇	ns:1,
关继祥	nr:1,
关美华	nr:1,
关羽	nr:2,
关联	v:23,n:1,vn:39,
关联度	n:9,
关联性	n:6,
关联方	n:2,
关肃霜	nr:1,
关良	nr:2,
关节	n:26,
关节炎	n:12,
关节点	n:3,
关芳秋	nr:1,
关茜颖	nr:1,
关西	ns:8,
关西地区	ns:1,
关贵敏	nr:1,
关贸	j:15,
关贸总协定	nz:14,
关贸总协定理事会	nt:1,
关轩	nr:3,
关连	v:1,
关铝	nz:6,j:5,
关铝公司	nt:1,
关铝股份有限公司解州铝厂	nt:1,
关键	v:1,d:2,an:1,a:497,n:920,ad:4,
关键件	n:2,
关键性	n:46,
关键点	n:2,
关键球	n:5,
关键词	n:4,
关镇	ns:1,
关长	n:15,
关长宇	nr:1,
关门	v:47,vn:3,
关门主义	n:3,
关门大吉	i:2,
关闭	v:136,vn:4,
关闸	n:1,
关闸边检处	nt:1,
关阔	nr:1,
关隐达	nr:4,
关隘	n:4,
关雁	nr:6,
关雎	n:1,
关颖珊	nr:3,
关飞	nr:2,
关麓村	ns:1,
兴	v:338,a:1,Ng:4,vn:1,
兴业	v:9,ns:2,nz:18,
兴业县	ns:2,
兴业县委	nt:2,
兴业房产	nt:2,
兴业杯	nz:1,
兴业证券	nt:3,
兴业银行	nt:2,
兴中会	nt:1,n:1,
兴义	ns:7,
兴义市	ns:6,
兴义市乌沙镇派出所	nt:1,
兴亡	v:2,n:7,vn:1,
兴仁县	ns:1,
兴企	v:2,
兴修	v:21,vn:1,
兴农	v:11,vn:2,
兴冲冲	z:9,
兴凯湖	ns:1,
兴利	v:1,
兴利除弊	i:5,
兴办	v:188,vn:2,
兴化	ns:7,
兴化州	ns:1,
兴化市	ns:3,
兴华	nr:1,nz:11,
兴华旅游购物商场	ns:1,
兴南	nz:7,
兴南化肥联合企业	nt:3,
兴南化肥联合企业党委	nt:1,
兴县	v:1,ns:3,
兴发	nz:5,
兴发水泥有限公司	nt:1,
兴发集团	nt:1,
兴叹	v:15,
兴味	n:8,
兴嘉	nz:1,
兴嘉实业公司	nt:1,
兴国	v:75,ns:11,vn:17,
兴国五里亭希望小学	nt:1,
兴国县	ns:3,
兴国县人	n:1,
兴地	ns:1,
兴城	ns:3,
兴城市	ns:1,
兴头	n:3,
兴奋	v:72,an:8,a:111,vn:8,
兴奋剂	n:69,
兴奋劲	n:1,
兴奋点	n:4,
兴奋状	n:1,
兴威	nz:1,
兴威大酒店	ns:1,
兴学	v:5,
兴宁市	ns:4,
兴安	ns:12,nr:7,
兴安县	ns:2,
兴安岭	ns:1,
兴安林业局	nt:1,
兴安林场	ns:1,
兴安林场施业区	ns:1,
兴安林场６１林班	nt:1,
兴安盟	ns:11,
兴安盟五岔沟林业局	nt:1,
兴安盟森警支队	nt:1,
兴安省	ns:1,
兴安路街	ns:1,
兴宝	n:1,
兴山	ns:2,
兴山供电站	nt:1,
兴山区	ns:2,
兴山县	ns:1,
兴山县水月寺镇党委	nt:1,
兴山沟北办事处	nt:1,
兴工	v:6,nz:1,
兴师动众	i:9,
兴平乡	ns:1,
兴平市	ns:3,
兴平市残联	nt:1,
兴庆宫	ns:1,
兴建	v:263,vn:10,
兴教	v:1,
兴旺	an:12,a:77,
兴旺发达	l:42,
兴旺庄村	ns:1,
兴昌	nz:1,
兴林	v:5,vn:2,
兴海	nz:1,
兴海河	nz:1,
兴涛	nz:9,
兴涛公司	nt:1,
兴涛学校	nt:3,
兴涛房地产开发有限责任公司	nt:1,
兴渔	v:2,
兴源镇	ns:1,
兴澄	nz:1,j:1,
兴澄股份	nt:1,
兴牧富民	j:1,
兴田	nz:2,
兴田企业中国有限公司河北分公司	nt:1,
兴田河北分公司	nt:1,
兴盛	an:8,a:12,
兴绿原	nz:4,
兴绿原公司	nt:1,
兴致	n:30,
兴致勃勃	i:57,
兴衰	v:4,n:39,vn:5,
兴衰与共	l:1,
兴衰史	n:1,
兴衰成败	l:8,
兴许	d:6,
兴贤	nz:1,
兴贤书院	ns:1,
兴起	v:181,vn:49,
兴趣	n:382,
兴趣班	n:1,
兴辞	v:1,
兴达	nz:2,
兴邦	v:3,
兴长	nz:2,
兴隆	ns:1,an:1,a:16,nz:4,
兴隆乡	ns:1,
兴隆华侨农场	ns:1,
兴隆居委会	nt:2,
兴隆村	ns:2,
兴隆片林	ns:1,
兴隆达	nz:1,
兴隆达饲料厂	nt:1,
兴风作浪	i:5,
兴高采烈	i:26,
兵	n:195,
兵临	v:1,
兵临城下	i:3,
兵书	n:6,
兵事	n:1,
兵兵	nr:1,
兵刃	n:1,
兵力	n:35,
兵卒	n:1,
兵变	v:3,vn:10,
兵员	n:1,
兵味	n:2,
兵器	n:30,
兵器史	n:1,
兵器工业总公司	nt:2,
兵器工业部	nt:1,
兵器工业部干部司	nt:1,
兵器工业部机关党委	nt:1,
兵团	n:77,
兵圣	n:2,
兵城	n:2,
兵士	n:2,
兵学	n:3,
兵家	n:5,
兵家必争之地	l:3,
兵小子	n:1,
兵工	n:9,
兵工厂	n:4,
兵库县	ns:11,
兵库县地区	ns:1,
兵强马壮	i:1,
兵役	n:5,
兵役制	n:1,
兵役法	n:1,
兵戈	n:1,
兵戎相见	i:4,
兵机策	n:1,
兵权	n:1,
兵法	n:23,
兵源	n:1,
兵燹	n:2,
兵种	n:14,
兵种部	n:4,
兵站	n:3,
兵站部	n:5,
兵舰	n:1,
兵荒马乱	i:3,
兵营	n:10,
兵谏	v:3,
兵道	n:1,
兵部	n:3,
兵阵	n:8,
兵马	n:2,
兵马俑	n:48,
兵马俑博物馆	ns:3,
其	u:29,r:5188,p:2,
其·赛汗比列格	nr:1,
其一	r:100,
其三	r:61,
其下	r:1,
其中	r:2949,
其乐无穷	i:2,
其乐融融	i:14,
其二	r:94,
其五	r:1,
其他	r:2222,
其他人	r:17,
其余	r:206,
其内	r:1,
其叶	r:2,
其名	r:1,
其后	f:1,t:42,s:1,
其四	r:11,
其因	r:3,
其妻	r:7,
其子	r:5,
其它	r:525,
其实	d:522,c:1,
其实不然	l:12,
其实难副	i:1,
其干	r:1,
其庸	nr:4,
其意	n:8,
其成	n:2,
其族	nr:1,r:2,
其时	r:22,
其木	r:1,
其枝	r:1,
其次	v:1,r:45,c:340,
其母	r:4,
其源	r:1,
其父	r:7,
其税	r:1,
其稿	r:5,
其端	r:1,
其美泽巴	nr:1,
其职	r:1,
其行	r:2,
其言	r:3,
其诗	r:6,
其貌不扬	i:2,
其责	r:2,
其败	n:2,
其身正不令则行	i:1,
其间	f:98,s:1,
具	v:1,q:21,Ng:3,Vg:308,
具体	v:2,an:2,a:1293,ad:201,
具体化	v:23,an:1,vn:4,
具体地说	c:8,
具体而微	i:1,
具体说来	c:3,
具备	v:362,vn:1,
具有	v:2592,vn:4,
具本茂	nr:1,
具象	a:3,n:6,
具象化	v:1,
典	Ng:6,
典仪	n:1,
典册	n:1,
典医监	n:1,
典型	an:1,a:212,n:397,ad:1,
典型性	n:7,
典守者	n:1,
典当	v:1,
典押	vn:1,
典故	n:12,
典权	n:1,
典法	n:1,
典礼	n:122,
典租	v:1,
典章	n:2,
典籍	n:20,
典范	n:98,
典藏	n:1,vn:1,
典藏本	n:14,
典论	n:1,
典鉴	n:3,
典雅	an:3,a:46,
典雅无华	i:1,
兹	Rg:7,
兹·古拉尔赤克	nr:1,
兹罗提	q:6,n:5,
兹韦列娃	nr:1,
养	v:396,Ng:2,vn:1,
养儿防老	l:1,
养兔	vn:2,
养兔业	n:1,
养兔场	n:1,
养兵	v:2,
养兵千日	i:2,
养分	n:7,
养在深闺人未识	l:1,
养壶笔	n:1,
养女	n:7,
养子	n:1,
养家	v:10,
养富	nr:18,
养尊处优	i:3,
养心	v:2,
养成	v:68,vn:8,
养护	v:18,vn:17,
养护费	n:1,
养料	n:3,
养机户	n:1,
养植	v:2,
养殖	v:91,vn:172,
养殖业	n:89,
养殖区	n:4,
养殖地	n:2,
养殖场	n:45,
养殖学	n:1,
养殖户	n:6,
养殖池	n:3,
养殖链	n:1,
养殖鱼	n:2,
养母	n:2,
养气	v:1,
养法	n:1,
养活	v:27,
养父	n:1,
养父母	j:5,
养牛	v:18,vn:8,
养牛业	n:4,
养牛人	n:1,
养牛厂	n:1,
养牛场	n:3,
养牛户	n:2,
养狐	v:2,
养狐场	n:3,
养狐栏	n:1,
养猪	v:88,vn:29,
养猪业	n:10,
养猪场	n:30,
养猪户	n:4,
养猪村	n:2,
养生	v:3,vn:5,
养生之道	n:2,
养生功	n:1,
养生堂	nz:2,
养生学	n:1,
养生术	n:1,
养畜	v:2,
养畜热	n:1,
养病	v:8,vn:1,
养痈遗患	i:1,
养禽	vn:1,
养精蓄锐	i:3,
养羊业	n:2,
养老	v:23,vn:207,
养老保险费	n:3,
养老保险金	n:12,
养老者	n:1,
养老送终	l:3,
养老金	n:52,
养老院	n:10,
养育	v:39,vn:4,
养育之恩	l:1,
养虾场	n:2,
养虾户	n:1,
养蚕业	n:1,
养蜂	v:1,vn:1,
养蜂业	n:1,
养蜂人	n:6,
养蝎	v:1,vn:1,
养蝎业	n:1,
养蝎场	n:1,
养蟹	v:1,
养路	v:2,vn:8,
养路工	n:16,
养路费	n:9,
养身	v:1,
养车户	n:1,
养颜	v:1,vn:1,
养鱼	v:21,n:1,vn:13,
养鱼区	n:1,
养鱼场	n:1,
养鱼池	n:2,
养鳗	v:4,
养鳗业	n:1,
养鸡	v:40,vn:17,
养鸡业	n:3,
养鸡场	n:24,
养鸡户	n:8,
养鸡房	n:3,
养鸡王	n:2,
养鸭	vn:4,
养鸭户	n:1,
养鹿业	n:1,
养鹿场	n:3,
兼	v:866,d:1,
兼任	v:64,
兼具	v:5,
兼及	v:5,
兼听则明	l:3,
兼听博采	l:1,
兼备	v:15,
兼学	v:1,
兼容	v:20,vn:3,
兼容并包	i:31,
兼容并蓄	i:9,
兼容性	n:1,
兼并	v:443,vn:248,
兼并体	n:1,
兼并史	n:1,
兼并战	n:1,
兼并案	n:30,
兼并潮	n:4,
兼并热	n:3,
兼并者	n:2,
兼并额	n:4,
兼得	v:2,
兼收	v:1,
兼收并蓄	i:8,
兼有	v:5,
兼济	v:1,
兼用	vn:2,
兼程	v:7,
兼管	v:3,
兼者	n:1,
兼而有之	i:4,
兼职	v:21,vn:27,
兼职团	n:1,
兼营	v:10,
兼融	v:1,
兼议	v:1,
兼课	v:2,vn:1,
兼顾	v:66,vn:3,
兽	Ng:6,
兽中之王	l:1,
兽医	n:21,
兽医卫生监督检验所	nt:1,
兽医局	n:1,
兽医师	n:1,
兽医站	n:1,
兽医院	n:3,
兽皮	n:1,
兽类	n:6,
兽群	n:1,
兽药	n:2,
兽药厂	n:1,
兽行	n:1,
兽足类	n:2,
兽面	n:1,
冀	Vg:1,j:29,
冀丙祥	nr:1,
冀东	ns:7,
冀东区	ns:1,
冀东区社会部	nt:1,
冀东水泥	nt:2,
冀中	ns:28,nz:1,j:1,
冀中军区	nt:3,
冀中南	ns:1,
冀中南地区	ns:1,
冀中回民支队	nt:3,
冀中平原	ns:2,
冀中平原抗日根据地	ns:1,
冀中电缆厂	nt:1,
冀中钢材厂	nt:1,
冀南	f:1,ns:3,
冀南区	ns:2,
冀南区第二行政专员公署	nt:1,
冀南第二行政专员公署	nt:1,
冀唐亭	nr:1,
冀城县	ns:1,
冀复生	nr:2,
冀州	ns:2,
冀州市	ns:2,
冀晋	j:3,
冀晋军区	nt:3,
冀晋区	n:4,
冀朝铸	nr:2,
冀热辽司令部	nt:1,
冀莹	nr:1,
冀西	ns:2,
冀鲁豫军区	nt:1,
冀鲁豫战勤总指挥部	nt:1,
冀鲁豫朝城县一区土改工作组	nt:1,
冀Ｒ０００７	n:1,
内	f:3364,r:1,n:1,j:9,
内丘县	ns:2,
内乌肯省	ns:1,
内乡	ns:1,
内乡县	ns:1,
内乱	n:9,
内争	v:1,vn:1,
内事	n:1,
内亚古·乌德罗尤	nr:1,
内交	n:1,
内伊斯	nr:2,
内伤	n:2,
内伶仃岛	ns:1,
内侄女	n:1,
内侧	f:7,
内保	j:1,
内债	n:2,
内克瓦西尔	nr:1,
内分泌	n:10,
内力	n:6,
内功	n:24,
内加索	nr:1,
内务	n:43,
内务司法委员会	nt:3,
内务部	nt:21,n:8,
内助	n:5,
内勤	n:6,
内包装	n:1,
内华达州	ns:6,
内华达州体育委员会	nt:2,
内卫	j:1,
内参	n:2,
内发原生型	n:1,
内司委	j:6,
内向	a:7,
内向型	b:1,
内含	v:2,
内哄	n:1,
内商	n:1,
内因	n:11,
内图	nr:1,
内在	f:2,v:2,d:1,b:178,a:3,
内在于	v:1,
内在化	v:1,
内地	s:514,n:5,
内坛	n:1,
内塔·巴卡尔	nr:1,
内塔尼亚胡	ns:50,nr:283,
内塔尼亚胡政府	nt:4,
内墙	n:1,
内壁	n:2,
内壳	n:1,
内外	f:202,s:2,
内外交困	i:2,
内外勤	j:1,
内外夹攻	i:1,
内外援	j:1,
内外有别	i:4,
内外线	j:3,
内外联	j:1,
内外贸	j:2,
内外资	j:11,
内外资金	j:1,
内外部	f:1,n:1,j:2,
内外销	vn:1,
内夯	v:1,
内奸	n:4,
内存	n:5,
内定	v:1,
内审	vn:1,
内家	b:1,
内容	n:1895,
内容各异	l:1,
内容栏	n:1,
内宾	n:1,
内屋	s:1,
内山	nz:1,
内山书店	nt:1,
内山完造	nr:1,
内布拉斯加州	ns:1,
内幕	n:14,
内应	n:1,
内庭	n:1,
内引外联	l:5,
内弟	n:1,
内径	n:1,
内心	n:129,
内忧	n:3,
内忧外患	i:5,
内情	n:3,
内战	n:59,
内控	vn:9,
内援	n:2,
内政	n:149,
内政部	nt:17,n:3,
内政部长	n:49,
内敛	b:1,
内敛性	n:1,
内昆线	nz:2,
内昆铁路	nz:6,
内景	n:3,
内服	v:1,
内服药	n:1,
内架	s:2,
内核	n:21,
内格夫	ns:2,
内格夫地区	ns:1,
内格夫沙漠	ns:1,
内格罗河	ns:1,
内格罗河省	ns:1,
内梅切克	nr:2,
内棺	n:3,
内水	n:1,
内江	ns:17,
内江啤酒厂	nt:1,
内江奥林啤酒厂	nt:2,
内江峨柴	nt:2,
内江市	ns:5,
内江市体育总会	nt:1,
内江市国际旅行社	nt:1,
内江市熊桥铁厂	nt:1,
内江棉纺厂	nt:1,
内江肉联厂	nt:1,
内江至昆明线	nz:1,
内河	n:43,
内海	n:1,
内涝	v:1,
内涵	n:270,
内涵式	b:3,n:2,
内源性	n:3,
内燃	b:1,
内燃机	n:6,
内燃机车	n:1,l:5,
内环线高架路	nz:1,
内瓤	n:1,
内生	b:1,
内生肌肝	n:1,
内画	n:14,
内疚	an:2,a:10,
内疚感	n:2,
内皮	n:1,
内省	v:1,
内科	n:21,
内科瓦西尔	nr:1,
内窥镜	n:2,
内窥镜式	b:1,
内线	n:14,
内绘	n:2,
内绘壶	n:1,
内缘	f:4,
内罗毕	ns:27,n:1,
内罗毕中央公园	ns:1,
内罗毕国际会议中心	ns:1,
内罗毕特区	ns:1,
内罗毕自由公园	ns:1,
内罗毕警察局拔河队	nt:1,
内罗毕赛马场	ns:1,
内置	vn:1,
内置式	b:1,
内耗	n:16,
内耳	n:1,
内联	j:1,vn:1,
内联升	nz:3,
内胆	n:1,
内胎	n:13,
内脏	n:10,
内膛嫁接	l:1,
内膜	n:1,
内莫夫	nr:3,
内蒙	ns:6,
内蒙兴发	nt:1,
内蒙华电	nt:2,
内蒙古	ns:499,
内蒙古乌兰察布盟盟委	nt:1,
内蒙古乌兰牧骑	nt:3,
内蒙古乌盟人大法工委	nt:1,
内蒙古乌达矿务局	nt:1,
内蒙古人民出版社	nt:2,
内蒙古人民教育出版社	nt:1,
内蒙古伊克昭盟国家税务局	nt:1,
内蒙古伊克昭盟盟委	nt:1,
内蒙古伊利实业集团股份有限公司	nt:3,
内蒙古伊利集团	nt:1,
内蒙古伊敏煤电公司	nt:1,
内蒙古伊敏煤电联营一期工程	nz:1,
内蒙古党委	nt:1,
内蒙古军区	nt:3,
内蒙古农业学校	nt:1,
内蒙古包头市歌舞剧团	nt:1,
内蒙古包头市第二医院	nt:1,
内蒙古呼和浩特市新城邮局	nt:1,
内蒙古团	n:3,
内蒙古地区	ns:2,
内蒙古地震局	nt:1,
内蒙古大兴安岭林管局	nt:2,
内蒙古大兴安岭森工集团	nt:1,
内蒙古大学中文系	nt:1,
内蒙古宁城老窖集团	nt:2,
内蒙古托克托电厂	nt:1,
内蒙古技术监督局	nt:2,
内蒙古文化出版社	nt:1,
内蒙古文工团	nt:1,
内蒙古林业大学	nt:1,
内蒙古森林警察总队	nt:1,
内蒙古森警总队	nt:1,
内蒙古民族商场	nt:1,
内蒙古海拉尔农垦场	ns:1,
内蒙古消费者协会	nt:1,
内蒙古电力学院	nt:3,
内蒙古电管局	nt:3,
内蒙古自治区	ns:59,
内蒙古自治区乌兰牧骑	nt:1,
内蒙古自治区人大常委会	nt:1,
内蒙古自治区人民政府	nt:1,
内蒙古自治区人民政府教育厅	nt:1,
内蒙古自治区人民检察院	nt:1,
内蒙古自治区党委	nt:3,
内蒙古自治区包头市科委	nt:1,
内蒙古自治区包头钢铁公司	nt:1,
内蒙古自治区医院	nt:1,
内蒙古自治区博物馆	ns:1,
内蒙古自治区呼伦贝尔盟甘河林业公司	nt:1,
内蒙古自治区呼和浩特市科委科技科	nt:1,
内蒙古自治区哲里木盟奈曼旗科协	nt:1,
内蒙古自治区团委	nt:1,
内蒙古自治区国债中心	nt:1,
内蒙古自治区基本建设咨询投资公司党委	nt:1,
内蒙古自治区大兴安岭林管局	nt:1,
内蒙古自治区托克托县委	nt:1,
内蒙古自治区技术监督局	nt:1,
内蒙古自治区政协	nt:1,
内蒙古自治区政府	nt:2,
内蒙古自治区文化局	nt:1,
内蒙古自治区文联	nt:1,
内蒙古自治区检察院	nt:1,
内蒙古自治区残疾人联合会	nt:2,
内蒙古自治区种子公司	nt:1,
内蒙古自治区职业介绍中心	nt:1,
内蒙古自治区莫力达瓦达斡尔族自治旗	ns:1,
内蒙古自治区赤峰市敖汉旗乌兰牧骑	nt:1,
内蒙古自治区边防总队阿盟额济纳旗算井子边防派出所党支部	nt:1,
内蒙古自治区邮电管理局	nt:1,
内蒙古自治区高级人民法院	nt:2,
内蒙古自治学院中学部	nt:1,
内蒙古自治运动联合会组织部	nt:1,
内蒙古草原	ns:6,
内蒙古草原研究所	nt:2,
内蒙古莫力达瓦达斡尔族自治旗	ns:1,
内蒙古赤峰市公安局松山分局交警大队	nt:1,
内蒙古赤峰市公安局红山区分局	nt:1,
内蒙古赤峰市委	nt:1,
内蒙古赤峰市平庄矿	nt:1,
内蒙古边防总队	nt:1,
内蒙古达旗电厂	nt:1,
内蒙古通辽北车站派出所	nt:1,
内蒙古通辽市中医院	nt:1,
内蒙古通辽市实验小学	nt:1,
内蒙古通辽市搬运公司	nt:1,
内蒙古鄂尔多斯地区	ns:1,
内蒙古鄂托克前旗人武部民兵训练基地	ns:1,
内蒙古阿尔山扑火前线指挥部	nt:1,
内蒙古阿拉善盟算井子边防派出所	nt:1,
内蒙古阿盟吉兰泰碱厂	nt:1,
内蒙古阿里河林校	nt:1,
内蒙古霍林郭勒市交通局	nt:1,
内蒙古饭店	ns:1,
内蒙古高级人民法院	nt:5,
内蒙古鹿王羊绒实业股份有限公司	nt:1,
内蒙宏峰	nt:2,
内蓄力	n:1,
内蕴	n:10,
内藏式	b:1,
内行	a:9,n:18,
内行人	n:2,
内衣	n:10,
内衣厂	n:2,
内裤	n:2,
内讧	v:1,vn:2,
内设	v:7,b:7,vn:2,
内话	j:1,
内贸	n:5,j:2,
内贸局	n:1,j:7,
内贸部	j:27,
内贸部商业信息中心市场预测处	nt:1,
内贸部市场司	nt:1,
内贸部市场监评部	nt:1,
内贸部行业管理一司	nt:1,
内贾德·侯赛尼安	nr:2,
内资	n:10,
内退	v:1,vn:2,
内道	n:1,
内避套	n:1,
内部	f:908,n:3,
内部化	v:2,
内里	f:1,
内销	v:11,vn:6,
内镜	n:2,
内阁	n:274,
内阁制	n:1,
内阁总理	n:9,
内防军	n:1,
内阴型	n:1,
内阻	n:1,
内陆	s:48,
内陆国	n:3,
内陆河	n:1,
内需	n:69,
内霍瓦	nr:2,
内饰	n:1,
内饰件	n:1,
内驱力	n:2,
内驱动力	n:1,
内黄县	ns:1,
内黄县井店法庭	nt:1,
内（江）	ns:2,
内（江）昆（明）线	nz:2,
冈上	ns:1,
冈仁波钦	nz:1,
冈光	nr:2,
冈光序治	nr:1,
冈山	ns:3,
冈山县	ns:1,
冈山巴黎航线	nz:1,
冈崎	ns:1,nr:1,
冈崎嘉平太	nr:2,
冈崎彬	nr:1,
冈本隆三	nr:1,
冈比亚	ns:2,
冈比亚河	ns:1,
冈波斯	nr:3,
冈玻斯	nr:4,
冈琦嘉平太	nr:1,
冈瓦纳	nz:2,
冈田	nr:2,
冈田武史	nr:2,
冈秦麟	nr:1,
冈萨雷斯	nr:3,
冈部	nr:1,
冈部达味	nr:6,
冈野雅行	nr:1,
冉冉	d:20,z:1,
冉向华王元增	nr:1,
冉建平	nr:1,
冉永平	nr:37,
冉永平彭嘉陵	nr:1,
冉永平温绪廷	nr:1,
冉瑞成	nr:1,
册	q:286,Ng:10,n:2,
册亨县	ns:4,
册亨县双江地区	ns:2,
册子	n:1,
册封	v:1,
册封使	n:1,
册数	n:1,
册次	q:1,
册立	vn:2,
册谱	n:1,
册页	n:1,
再	v:1,d:5264,b:1,Vg:6,
再三	d:62,
再不	d:31,
再也	d:13,
再会	v:2,
再其次	c:1,
再则	c:6,
再创	v:1,
再加之	c:3,
再婚	v:13,vn:8,
再婚者	n:1,
再审	v:10,vn:6,
再宽限期	n:1,
再就业服务管理中心	nt:1,
再就业率	n:22,
再就业者	n:3,
再就是	d:4,
再山	ns:1,
再度	d:170,
再接再厉	i:44,
再有	c:2,
再次	d:876,c:30,
再版	v:19,vd:1,vn:3,
再版书	n:1,
再版率	n:1,
再现	v:144,vn:11,
再生	v:40,vn:33,
再生产	v:18,vn:11,
再生力	n:1,
再生棉	n:1,
再生父母	l:2,
再生稻	n:1,
再终字	j:1,
再者	c:17,
再者说	c:2,
再而三	i:6,
再荣	nz:1,
再行	d:7,
再见	v:19,
再说	v:39,c:26,
再贴现率	n:7,
再贷款	n:13,
再进一步	l:1,
再造	v:49,vn:5,
再造术	n:2,
再障	j:2,
再青春	nz:2,
冒	v:251,vd:1,
冒充	v:29,
冒冒失失	z:2,
冒名	vd:1,
冒名顶替	i:2,
冒天下之大不韪	i:6,
冒天启	nr:1,
冒失	a:1,
冒尖	v:4,
冒昧	a:1,
冒汗	v:5,
冒泡	v:3,
冒火	v:1,
冒烟	v:8,
冒然	d:1,
冒牌	b:6,
冒牌货	n:3,
冒犯	v:2,
冒用	v:8,
冒纳凯阿	nz:1,
冒进	v:10,vn:3,
冒险	v:17,vd:2,vn:7,
冒险主义	n:2,
冒险主义者	n:1,
冒险家	n:1,
冒险者	n:1,
冒雨	v:27,vd:4,
冒顶	vn:1,
冒领	v:13,vn:1,
冕	Ng:1,
冗	Ag:1,
冗员	n:29,
冗杂	a:1,
冗繁	a:1,
冗赘	a:1,
冗长	a:2,
写	v:1710,j:1,vn:6,
写下	v:13,
写作	v:91,vn:88,
写作组	n:1,
写作者	n:1,
写信	v:80,
写信人	n:6,
写信者	n:2,
写入	v:18,
写写	v:3,
写写信	v:1,
写出	v:1,
写卷	n:1,
写字	v:20,vn:7,
写字台	n:7,
写字楼	n:18,
写字楼区	n:1,
写实	v:9,b:1,n:4,vn:8,
写实主义	l:1,
写实化	v:2,
写实派	n:1,
写家	n:3,
写就	v:2,
写意	v:1,n:19,
写意画	n:4,
写成	vn:1,
写明	v:4,
写景	v:2,
写法	n:8,
写照	n:36,
写生	v:13,vn:9,
写真	v:2,n:6,vn:1,
写真帖	n:1,
写真照	n:1,
写票处	n:1,
写稿	v:12,vn:2,
写经	n:2,
写给	v:1,
写道	v:93,
写（意）	n:1,
军	n:344,j:3,
军中	s:16,
军中无戏言	l:1,
军乐团	n:3,
军乐管	n:1,
军乐队	n:13,
军事	ns:1,n:1396,
军事五项	n:1,
军事化	v:5,vn:7,
军事区	n:1,
军事医学科学院	nt:3,
军事医学科学院卫生装备研究所	nt:1,
军事医学科学院微生物流行病研究所	nt:1,
军事博物馆	ns:10,
军事史	n:3,
军事基地	l:18,
军事学	n:1,
军事学院	nt:1,
军事家	n:39,
军事工程学院	nt:1,
军事志	n:15,
军事法庭	l:35,
军事科学	l:25,
军事科学院	nt:38,
军事科学院党委	nt:1,
军事科学院军事历史研究部	nt:1,
军事科学院战役研究部	nt:1,
军事管制	l:1,
军事篇	n:1,
军事编	n:1,
军事观	n:1,
军事谊文出版社	nt:1,
军事运筹分析研究所	nt:2,
军事部	n:6,
军事部长	n:3,
军人	n:373,
军人证	n:1,
军代处	n:1,j:5,
军代表	n:26,
军代表室	n:5,
军令	n:1,
军令状	n:11,
军休	j:1,
军体	j:2,
军体拳	n:1,
军兵种	j:8,
军内	n:2,
军军	n:1,
军分区	n:81,
军列	n:1,
军力	n:5,
军功章	n:9,
军区	n:658,
军区队	n:44,
军医	n:48,j:1,
军医大	j:3,
军医大学	nt:1,
军博	j:2,
军史	n:2,
军史部	n:1,
军史馆	n:6,
军号	n:4,
军品	n:6,
军售	j:6,vn:1,
军团	n:18,
