@WordPOS	Ag,Bg,Dg,FREQTWO,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
哲蚌寺	ns:4,
哲言	n:1,
哲远	nr:2,
哲里木盟奈曼旗	ns:1,
哲里木盟科尔沁	ns:1,
哺	Vg:5,
哺乳	v:3,vn:2,
哺乳动物	l:15,n:1,
哺乳期	t:4,n:9,
哺乳类	n:3,
哺乳纲	n:1,
哺养	v:1,
哺育	v:25,vn:6,
哼	e:3,v:14,
哼哼	v:1,
哼唱	v:3,vn:2,
哽咽	v:17,
唁电	n:13,
唆使	v:4,
唇	Ng:3,
唇干舌燥	l:1,
唇枪舌剑	i:2,
唇膏	n:1,
唇舌	n:2,
唇裂	n:2,
唇齿相依	i:5,
唉	e:9,
唉叹	v:1,
唉声叹息	l:1,
唉声叹气	i:4,
唏嗒唏嗒	o:1,
唏嘘	v:4,
唏嘘落泪	l:1,
唐	Tg:36,nr:553,nt:1,j:2,
唐·科	nr:1,
唐·金	nr:1,
唐·阿格	nr:1,
唐·麦金农	nr:2,
唐三彩	n:3,
唐亭	nr:1,
唐人	j:1,n:1,
唐人街	ns:8,
唐仙馆	nz:1,
唐代	t:47,
唐僧	nr:2,
唐初	t:4,
唐卡	n:2,
唐县	ns:1,
唐古拉山	ns:4,
唐太宗	nr:3,
唐宁街	ns:12,
唐宋	t:13,
唐宗	n:1,
唐宣宗	nr:1,
唐家会村	ns:2,
唐家庄	ns:3,
唐尼采蒂	nr:2,
唐山	ns:85,
唐山人	n:1,
唐山市	ns:42,
唐山站	n:3,
唐庄	ns:1,
唐庄乡	ns:2,
唐庄镇	ns:2,
唐明皇	nr:1,
唐朝	t:4,
唐末五代	t:1,
唐槐	nz:1,
唐沟村	ns:1,
唐河县	ns:2,
唐海	ns:1,
唐海县	ns:4,
唐海镇	ns:1,
唐玄宗	nr:4,
唐突	v:1,
唐纳	nr:10,
唐纳德·拉塔吉扎克	nr:1,
唐老鸭	n:3,
唐诗	n:11,
唐贞观十年	t:1,
唐都	nz:1,
唐钢	n:1,
唐麦·贡觉白姆	nr:1,
唔	y:1,
唠	v:1,
唠叨	v:3,vn:1,
唠嗑	v:1,
唠起	v:1,
唢呐	n:3,
唢呐曲	n:1,
唤	Vg:15,v:1,
唤取	v:1,
唤回	v:2,
唤来	v:1,
唤起	v:64,
唤醒	v:25,
唧唧	o:3,
唧唧喳喳	o:1,
唧啾	o:1,
唬人	v:1,
售	v:181,vn:1,
售书	v:10,vn:6,
售书量	n:2,
售予	v:1,
售价	v:1,n:57,
售假	v:8,vn:2,
售假者	n:1,
售出	v:56,vn:4,
售卖	v:4,
售后	v:2,vn:1,
售后服务	l:78,
售后服务部	n:2,
售奶亭	n:1,
售完	v:3,
售房	v:13,vn:7,
售房方	n:1,
售房款	n:2,
售报亭	n:1,
售时	vn:1,
售架	n:1,
售楼价	n:1,
售电量	n:1,
售票	v:26,vn:40,n:1,
售票人	n:2,
售票厅	n:3,
售票口	n:1,
售票台	n:2,
售票员	n:21,
售票处	n:17,
售票机	n:2,
售票点	n:2,
售票窗	n:1,
售票箱	n:1,
售票额	n:3,
售粮	v:10,vn:5,
售粮款	n:2,
售粮者	n:3,
售罄	v:1,
售菜	n:1,
售蛋亭	n:1,
售货	v:12,vn:6,
售货员	n:25,
售饭机	n:1,
唯	nr:2,d:52,
唯一	b:457,d:56,
唯一己小利是图	l:1,
唯一性	n:6,
唯全	nr:1,
唯其如此	c:1,l:3,
唯利唯金	l:1,
唯利是图	i:11,
唯唯	d:1,
唯唯诺诺	l:3,
唯嘉	nr:1,
唯实	nr:1,v:4,
唯心主义	n:9,
唯心主义者	n:1,
唯心史观	l:7,
唯心论	n:1,
唯恐	v:12,
唯我独尊	i:2,
唯才是举	l:2,
唯有	c:1,v:62,
唯条件论	n:1,
唯模仿论	n:1,
唯物	b:3,
唯物主义	n:14,
唯物主义者	n:9,
唯物史观	j:1,l:23,
唯物论	n:6,
唯物论者	n:1,
唯物辩证法	n:21,
唯独	d:22,
唯货币主义	n:1,
唯金牌论	n:4,
唱	nr:1,v:374,Ng:1,
唱主角	v:11,
唱和	v:1,vn:1,
唱响	v:4,
唱对台戏	l:1,
唱工	n:1,
唱戏	v:18,vn:1,
唱曲	v:1,
唱机	n:1,
唱歌	v:28,vn:1,
唱段	n:3,
唱法	n:5,
唱片	n:29,
唱片业	n:1,
唱盘	n:9,
唱票	v:3,
唱票员	n:1,
唱红	v:1,
唱红脸	l:1,
唱经声	n:1,
唱腔	n:18,
唱词	n:2,
唱诗班	n:1,
唱起	v:1,
唾	v:1,
唾弃	v:6,vn:1,
唾沫	n:1,
唾液	n:1,
唾骂	v:1,
啁啾	vn:1,o:3,
啃	v:54,
啃书本	l:1,
啄	v:5,
啄木鸟	n:2,
啄食	v:5,
商	Vg:49,Tg:5,nr:26,v:2,j:4,n:50,
商丘	ns:14,
商丘县	ns:1,
商丘市	ns:1,
商丘站	ns:3,
商业	n:1247,
商业主义	n:1,
商业化	v:13,vn:19,
商业区	n:25,
商业城	n:6,
商业处	n:1,
商业局	n:4,
商业性	n:38,
商业楼	n:2,
商业点	n:1,
商业界	n:2,
商业网	n:1,
商业街	n:18,
商业部	nt:1,n:3,
商业部长	n:5,
商业额	n:1,
商之都	nz:1,
商事	n:5,
商交所	j:1,
商亭	n:6,
商人	n:81,
商代	t:3,
商企	j:2,
商会	n:53,
商住	j:2,
商住楼	n:3,
商儒	n:1,
商务	n:119,
商务区	n:1,
商务处	n:1,
商务客	n:1,
商务局	n:1,
商务部	n:11,
商务部长	n:17,
商南县	ns:3,
商厦	n:80,
商厦队	nt:2,
商号	n:5,
商君	nr:1,
商周	t:8,
商品	n:1343,
商品业	n:2,
商品化	v:31,vn:42,vd:2,
商品性	n:7,
商品房	n:143,
商品案	n:3,
商品棉	n:3,
商品流通	l:25,
商品猪	n:5,
商品率	n:8,
商品生产	l:17,
商品生产者	n:2,
商品粮	n:26,
商品粮棉	j:5,
商品经济	n:43,
商品部	n:8,
商品量	n:3,
商品额	n:1,
商品鸡	n:1,
商品麦	n:1,
商团	n:2,
商场	n:412,
商城	ns:1,n:86,
商城县	ns:2,
商城路	ns:1,
商埠	n:2,
商奥会	j:1,
商委	j:1,
商嫂	j:1,n:4,
商学院	n:27,
商定	v:68,
商客居	n:1,
商家	n:143,
商家退避	v:1,
商山	n:1,
商州	ns:3,
商州人	n:1,
商州市	ns:1,
商工	j:3,n:3,
商工人	j:2,
商市场	j:1,
商店	n:246,
商德	n:2,
商态	n:1,
商情	n:4,
商战	n:18,
商户	n:17,
商报	n:6,
商旅	n:4,
商服	j:1,
商朝	t:2,
商末	t:1,
商机	n:26,
商标	n:203,
商标厂	n:1,
商标局	n:8,
商标权	n:6,
商标法	n:11,
商校	j:1,
商检	v:2,vn:33,j:31,
商检局	j:1,n:11,
商榷	v:8,
商正	nr:1,
商水	ns:1,
商水县	ns:4,
商法	n:2,
商洛	ns:9,
商流	j:4,
商海	n:33,
商港	n:1,
商演	v:1,
商潮	n:2,
商灵	nz:1,
商用	b:18,vn:4,n:2,
商用化	v:1,
商界	n:32,
商瞿	nr:1,
商社	n:15,
商管委	j:2,
商粮	nz:1,
商船	n:4,
商行	j:1,
商街	n:1,
商誉	j:3,n:7,
商讨	v:74,vn:2,
商议	v:16,
商谈	v:40,vn:47,
商贩	n:39,
商贸	j:49,n:2,
商贸会	n:2,
商贸区	n:1,
商贸厅	n:1,
商贸司	n:1,
商贸城	n:4,
商贸点	n:1,
商贸部	n:1,
商贾	n:3,
商贾如云	l:1,
商贿官贪	l:1,
商载	n:1,
商都	n:1,
商量	v:97,vd:2,
商铺	n:9,
商隐	nr:3,
啊	e:20,y:349,
啊啊	e:1,
啖	Vg:3,
啜	Vg:3,
啜入	v:1,
啤酒	n:171,
啤酒业	n:1,
啤酒卡	n:1,
啤酒厂	n:30,
啤酒客	n:3,
啤酒店	n:1,
啤酒杯	n:4,
啤酒瓶	n:5,
啤酒瘾	n:1,
啤酒箱	n:1,
啤酒节	n:8,
啤酒花	nt:1,n:3,
啤酒馆	n:1,
啥	r:124,
啥名	r:1,
啥子	r:3,
啥用	r:2,
啦	y:108,
啦啦队	n:1,
啧	e:1,
啧啧	o:2,
啧啧声	n:1,
啧啧称奇	l:1,
啧啧称赞	l:3,
啧有烦言	l:2,
啪	o:5,
啪哒啪哒	o:1,
啪啪	o:1,
啬	Ag:1,
啭鸣	v:1,
啮	Vg:1,
啰唆	a:1,
啰嗦	a:1,
啸	nr:2,v:9,
啸傲	v:1,
啸声	nr:2,n:1,
啸海	nr:1,
啸风	nr:13,
啼	v:6,
啼哭	v:6,vn:1,
啼猿	n:3,
啼笑皆非	i:14,
啼鸣	vn:1,
啼鹃	n:1,
啾啾	o:2,
喀	j:7,
喀什	ns:17,
喀什市	ns:1,
喀喇昆仑山	ns:1,
喀喇沁左翼	ns:2,
喀嚓	o:1,
喀土穆	ns:17,
喀土穆５月	t:1,
喀城	ns:2,
喀左县	ns:1,
喀巴	nr:6,
喀布尔	ns:11,
喀拉和顺	ns:2,
喀拉拉邦	ns:1,
喀斯特	ns:1,nz:1,
喀斯特地形区	nz:1,
喀若拉	ns:1,
喀里多尼亚	ns:1,
喀麦隆	ns:25,
喀麦隆共和国	ns:2,
喀麦隆队	nt:26,
喂	e:6,v:65,
喂养	v:20,vn:6,
喂养量	n:1,
喂奶	v:4,
喂食	v:1,
喃喃	o:8,
喃字	n:4,
喃语	n:1,
善	Vg:4,Dg:27,Ag:56,v:2,Ng:13,
善与人同	l:1,
善为	v:6,
善举	n:11,
善义	nr:1,
善事	n:7,
善于	v:319,
善人	n:2,
善凤	nr:1,
善初	nr:1,
善勤	nr:1,
善华	nr:1,
善卿	nr:1,
善变	a:2,
善后	n:19,
善因	nr:1,
善始	v:1,
善始善终	i:3,
善子	nr:1,
善宏	nr:1,
善家	nr:1,
善庆	nr:4,
善康	nr:1,
善弘	nr:6,
善强	nr:1,
善待	v:6,
善徙	a:1,
善德	nr:2,
善恶	n:9,
善意	n:26,
善战	v:3,
善报	n:1,
善教者	n:2,
善文	nr:3,
善断	v:1,
善昌	nr:1,
善明	nr:1,
善本	n:11,
善本书	n:3,
善本库	n:1,
善权	nr:1,
善棠	nr:2,
善欢	nr:1,
善款	n:6,
善歌者	n:2,
善民	nr:1,
善气	n:1,
善洪	nr:1,
善浦	nr:1,
善滨	nr:1,
善澄	nr:1,
善炯	nr:5,
善玉	nr:1,
善琴	nr:3,
善璧	nr:1,
善用	v:3,
善男信女	i:2,
善真	nr:1,
善祥	nr:2,
善福	nr:1,
善策	n:1,
善纳雅言	l:1,
善终	v:2,
善续	nr:1,
善者	n:1,
善自为之	l:1,
善良	a:50,an:4,
善芝	nr:3,
善莫大焉	l:1,
善菊	nr:1,
善行	n:1,
善衍	nr:2,
善解	v:1,
善解人意	i:1,l:5,
善言	a:1,
善记	nr:5,
善诈	v:1,
善跑	v:1,
善选	v:1,
善镇	nr:4,
善霞	nr:1,
善馀	nr:1,
善龙	nr:1,
喆	nr:8,
喇	nr:1,
喇叭	n:42,
喇叭口	n:3,
喇叭声	n:5,
喇叭形	n:1,
喇嘛	n:16,
喇敏智	nr:1,
喇秉礼	nr:2,
喉	Ng:8,
喉咙	n:6,
喉气管	n:1,
喉癌	n:2,
喉舌	n:18,
喉音	n:1,
喊	v:150,
喊叫	v:3,vn:1,
喊叫声	n:3,
喊声	n:8,
喊话	v:7,vn:1,
喊道	v:2,
喋喋不休	i:6,
喋血	v:2,
喏	e:2,
喑哑	v:3,vn:1,
喔	o:1,
喘	v:18,
喘喘气	v:1,
喘息	v:3,vn:3,
喘息甫定	l:1,
喘歇	vn:1,
喘气	v:4,
喙	Ng:1,
喜	nr:1,Ag:3,v:119,Ng:26,vd:27,
喜上加喜	l:2,
喜上眉梢	i:7,
喜不自禁	v:1,
喜丰	nz:1,
喜事	n:17,
喜云	nr:2,
喜人	a:64,
喜先	nr:1,
喜兰	nr:4,
喜军	nr:1,
喜凯	nr:2,
喜出望外	i:18,
喜出望外者	k:1,
喜剧	n:29,
喜剧化	vd:1,
喜剧式	b:1,
喜剧片	n:5,
喜力	nz:1,
喜华	nr:1,
喜吟吟	z:1,
喜唱乐听	l:1,
喜嗜	v:1,
喜坚	nr:1,
喜奎	nr:6,
喜好	v:6,vn:2,an:1,
喜字	n:4,
喜宴	n:1,
喜峰	nr:1,
喜平	nr:3,
喜庆	v:94,vn:21,
喜形于色	i:4,
喜忧参半	i:1,l:3,
喜怒	n:1,
喜怒哀乐	i:23,
喜怒相通	l:1,
喜性	a:1,
喜悦	a:51,an:59,n:1,
喜悦感	n:1,
喜悦队	nt:1,
喜意	n:1,
喜报	n:2,
喜捧	v:1,
喜文嗜乐	l:1,
喜新厌旧	i:3,
喜旺	nr:2,
喜明	nr:4,
喜极而泣	l:1,
喜极而涕	l:1,
喜梅	nr:2,
喜榜	nr:1,
喜欢	v:323,vn:4,
喜武	nr:2,
喜气	n:7,
喜气洋洋	i:30,
喜泪	n:1,
喜洋洋	z:3,
喜海	nr:2,
喜滋滋	z:7,
喜烟	n:2,
喜爱	nr:1,v:123,vn:68,
喜玛拉雅	nz:1,
喜盈盈	z:1,
喜盈门	nz:5,l:1,
喜笑颜开	i:4,
喜糖	n:3,
喜结良缘	l:12,
喜结连理	l:1,
喜群	nr:1,
喜翠	nr:2,
喜色	n:3,
喜苹	nr:1,
喜荣	nr:2,
喜莲	nr:3,
喜获	v:5,
喜融融的	z:1,
喜讯	n:56,
喜读者	n:1,
喜贵	nr:3,
喜车	n:1,
喜迁	v:3,
喜迎	v:43,
喜迎春	v:2,
喜通	nr:1,
喜逢	v:1,
喜酒	n:4,
喜闻乐见	i:35,
喜雨	n:2,
喜马偕尔邦	ns:1,
喜马拉雅	ns:3,
喜马拉雅山	ns:16,
喜马拉雅山脉	ns:1,
喜魁	nr:2,
喜鹊	n:10,
喜龙	nr:15,
喝	v:278,vn:1,
喝令	v:3,
喝声	n:1,
喝彩	v:15,vn:11,
喝彩声	n:7,
喝斥	v:1,
喝茶	v:35,
喝西北风	l:1,
喝道	v:2,
喝酒	v:19,
喝酒钱	n:1,
喝问	v:1,
喟叹	v:1,vn:2,
喟然	d:1,
喧	Vg:1,Ag:3,
喧哗	v:13,
喧嚣	v:19,vn:12,
喧嚷	v:3,
喧声	n:2,
喧声四起	i:1,
喧宾夺主	i:2,
喧腾	v:1,
喧闹	v:10,vn:7,
喧闹声	n:1,
喳喳	o:1,
喷	v:30,
喷发	v:12,vn:3,
喷发物	n:1,
喷吐	v:2,
喷嘴	n:3,
喷塑	v:1,
喷墨	b:2,
喷头	n:3,
喷射	v:12,vn:3,
喷射船	n:3,
喷放	vn:1,
喷施宝	nz:1,
喷气	b:1,v:2,vn:8,
喷气式	b:2,
喷水	b:1,v:6,vn:4,
喷水池	n:4,
喷泉	n:23,
喷洒	v:11,vn:1,
喷洒剂	n:1,
喷涂	vn:1,
喷涌	v:5,
喷溅	v:1,
喷漆	v:1,n:2,
喷激	v:1,
喷灌	v:13,vn:26,n:2,
喷灌区	n:1,
喷灌机	n:5,
喷灯	n:2,
喷珠泻玉	i:1,
喷管	n:1,
喷红欲燃	l:1,
喷织	vn:1,
喷绘	n:1,
喷药	v:4,
喷薄欲出	i:1,
喷薄而出	i:1,l:2,
喷锚网	j:2,
喷雾器	n:1,
喷饭	v:1,
喻	Vg:7,nr:30,Ng:1,
喻为	v:3,
喻奇	nr:1,
喻家湾村	ns:1,
喻特曼科	n:1,
喻雷	nr:2,
喽	y:4,
嗅	v:10,
嗅到	v:1,
嗅觉	n:2,
嗉子	n:1,
嗑	v:1,
嗓	q:1,Ng:2,
嗓子	n:21,
嗓子眼	n:2,
嗓子眼儿	n:2,
嗓门	n:8,
嗓音	n:13,
嗔怪	v:3,
嗖	o:2,
嗖嗖	o:3,
嗜	Vg:7,
嗜书如渴	i:1,
嗜云腿	nr:1,
嗜好	vn:1,n:8,
嗜痂成癖	i:1,
嗜睡	v:2,
嗜食	v:1,
嗟叹	v:2,
嗟来之食	i:1,
嗡嗡	o:7,
嗡嗡嘤嘤	o:1,
嗣	Ng:2,
嗣同	nr:3,
嗣后	t:3,
嗣宏	nr:2,
嗣杰	nr:1,
嗣母	n:1,
嗣铨	nr:1,
嗤	Vg:1,
嗤之以鼻	i:5,
嗥叫	vn:1,
嗦嗦	o:1,
嗨	e:6,
嗫嚅	z:1,
嗬	e:32,
嗬哟	e:1,
嗯	e:4,
嗲	Ag:1,
嗲味儿	n:1,
嗲声嗲气	l:2,
嗵嗵	o:1,
嗷嗷叫	v:1,
嗷嗷待哺	i:4,
嘀咕	v:5,
嘀嘀	o:1,
嘀里嘟噜	o:1,
嘁嘁喳喳	o:1,
嘈杂	a:10,an:2,
嘉	nr:27,j:3,
嘉丰	nz:1,
嘉义	ns:1,
嘉义镇	ns:1,
嘉亮	nr:3,
嘉伟	nr:14,
嘉佑	nr:1,
嘉兴	nr:3,ns:23,
嘉兴人	n:1,
嘉兴市	ns:12,
嘉华	nr:3,nz:3,
嘉吉	nz:1,
嘉善	ns:2,
嘉善县	ns:3,
嘉嘉	nz:1,
嘉墀	nr:2,
嘉士伯	nz:4,
嘉士伯杯	nz:1,
嘉奎	nr:1,
嘉奖	v:7,vn:14,
嘉奖令	n:2,
嘉存	nr:1,
嘉定	ns:1,
嘉定人	n:1,
嘉定区	ns:2,
嘉定县	ns:2,
嘉宾	n:23,
嘉山县	ns:1,
嘉峪关	ns:10,
嘉峪关市	ns:2,
嘉峪市	ns:1,
嘉平镇	ns:1,
嘉年华	n:3,
嘉年华会	l:2,
嘉庆	nr:2,t:1,
嘉庆帝	nr:1,
嘉应	nz:1,
嘉庚	nr:15,
嘉廉	nr:6,
嘉廷	nr:9,
嘉彬	nr:1,
嘉德	nr:1,ns:1,nz:13,
嘉惠	v:1,
嘉成	nr:1,
嘉手纳	ns:2,nz:3,
嘉旋	nr:2,
嘉明	nr:1,
嘉木	n:3,
嘉木样·洛桑久美·图丹却吉尼玛	nr:6,
嘉柔	nr:1,
嘉树	n:1,
嘉桐	nr:1,
嘉永二年	t:1,
嘉洁	nz:1,
嘉玮	nr:2,
嘉玲	nr:2,
嘉理	nr:2,
嘉琪	nr:1,
嘉瑾	nr:4,
嘉璐	nr:43,
嘉甫	nr:1,
嘉第	nr:1,
嘉翔	nz:1,
嘉良	nr:2,
嘉言	n:1,
嘉许	v:1,vn:1,
嘉诚	nr:9,
嘉道理	nz:1,
嘉铭	nr:3,
嘉银	nr:1,
嘉锡	nr:55,
嘉陵	nr:21,ns:1,nz:3,
嘉陵区	ns:2,
嘉陵江	ns:9,
嘉靖	nz:1,
嘉靖十二年	t:1,
嘉靖四十年	t:2,
嘉音	nr:1,
嘉鸣	nr:22,
嘉黎县	ns:1,
嘉（马来）	nr:7,
嘎	nr:1,o:2,
嘎嘎	o:3,
嘎尔玛	nr:1,
嘎昌河	ns:1,
嘎查	ns:2,nz:1,n:2,
嘎玛曲培	nr:2,
嘎秧舞	n:1,
嘎达梅林	nz:1,
嘎那	ns:1,
嘘	v:3,
嘘声	n:1,
嘘寒问暖	i:10,
嘛	y:66,
嘛呢堆	n:1,
嘛尼	n:1,
嘟	o:1,
嘟哝	v:1,
嘟嘟	o:1,
嘟囔	v:1,
嘤嘤	o:2,
嘤鸣	v:1,
嘭	o:3,
嘭嘭	o:3,
嘱	Vg:5,
嘱事	v:1,
嘱咐	v:33,vn:2,
嘱托	v:8,vn:26,
嘲	Vg:2,
嘲弄	v:4,vn:1,
嘲笑	v:12,vn:1,
嘲笑声	n:1,
嘲讽	v:3,vn:3,
嘴	n:86,
嘴儿	n:1,
嘴唇	n:18,
嘴啃泥	l:1,
嘴巴	n:14,
嘴皮	n:3,
嘴皮子	n:1,
嘴脸	n:2,
嘴角	n:3,
嘴边	s:22,
嘴里	s:27,
嘶	Vg:1,o:1,
嘶哑	a:3,
嘶嘶	o:1,
嘶鸣	v:1,
嘹亮	a:16,ad:1,
嘻嘻哈哈	z:5,
嘿	e:7,o:1,
嘿嘿	o:4,
嘿嘿嘿	o:1,
噌	o:4,
噌噌	o:2,
噌噌噌	o:1,
噍	Vg:1,
噎	v:1,
噘	v:2,
噘起	v:1,
噙	v:10,
噢	e:13,
噢噢	o:1,
器	Ng:2,
器乐	n:9,
器乐曲	n:2,
器件	n:26,
器兴	nz:1,
器具	n:18,
器官	n:33,
器底	s:1,
器形	n:2,
器材	n:119,
器材厂	n:5,
器械	n:75,
器械科	n:1,
器物	n:3,
器物部	n:2,
器皿	n:5,
器背	n:1,
器重	v:1,vn:2,
噩梦	n:8,
噩耗	n:11,
噩运	n:1,
噪	Vg:4,Ng:2,
噪声	n:31,
噪声源	n:1,
噪杂	a:1,
噪音	n:60,
噪音区	n:1,
噪音源	n:2,
噬	Vg:6,
噬人鲨	n:1,
噶伦	n:1,
噶尔丹	ns:1,
噶玛丹萨寺	ns:1,
噶玛噶举派	n:1,
噶玛巴	nr:2,
噼噼叭叭	o:1,
噼噼啪啪	o:5,
嚎	v:1,
嚎啕	d:4,
嚓嚓	o:3,
嚣	Vg:1,
嚣张	a:8,an:1,
嚣张气焰	l:7,
嚣闹	a:1,
嚷	v:11,
嚷嚷	v:8,
嚼	v:23,
囊	Ng:2,
囊中	s:5,
囊中之物	l:1,
囊中羞涩	i:2,l:1,
囊括	v:24,
囚	Vg:4,
囚入	v:1,
囚徒	n:3,
囚款	n:3,
囚歌	n:3,
囚犯	n:16,
囚禁	v:7,vn:1,
囚笼	n:1,
囚粮	n:1,
四	nr:2,m:2733,
四·一二	m:1,
四·一五	m:1,
四·二五	m:1,
四○	m:1,
四○一	m:1,
四○四	m:1,
四一	m:1,
四一二	m:1,
四万	m:14,
四万九千二百五十万	m:1,
四万二千	m:1,
四万五千	m:2,
四万零七百	m:1,
四三三	m:1,
四三二	m:1,
四下	s:1,d:4,f:1,
四不	j:3,
四世同堂	l:4,
四两拨千斤	l:7,
四个一	j:3,
四中	j:8,
四中全会	j:24,
四义	nr:1,
四九	t:1,m:1,
四九年	t:1,
四乡八村	l:1,
四书	n:1,
四书五经	n:1,
四二○	m:6,
四五	m:56,
四五万	m:3,
四五事件	nz:1,
四五八	m:2,
四五六	m:1,
四五十	m:16,
四五十万	m:2,
四五十分	m:1,
四五千	m:5,
四五年	t:1,
四五时	t:1,
四五月份	t:1,
四五点	t:2,
四五点钟	t:1,
四五百	m:6,
四人制	b:3,n:1,
四人帮	j:86,
四亿	m:4,
四代	nr:1,
四优	j:1,
四会	j:2,
四位一体	l:1,
四体不勤	i:2,
四假	j:1,
四光	nr:12,
四免	j:1,
四八	m:1,
四八○五	m:4,
四公开	j:5,
四六	m:2,
四六三	m:1,
四凤	nr:1,
四分之一	m:20,
四分之三	m:6,
四分五裂	i:2,
四分开	j:7,
四分开一完善	j:1,
四到位	j:2,
四化	j:18,n:4,
四化建设	l:2,
四医大	j:2,
四十	m:151,
四十一	m:7,
四十一万	m:1,
四十一个	m:2,
四十一点一	m:1,
四十七	m:10,
四十万	m:12,
四十三	m:15,
四十三万	m:1,
四十三分	t:1,
四十九	m:9,
四十九万	m:1,
四十二	m:5,
四十二点一八万	m:1,
四十五	m:24,
四十五万	m:2,
四十五亿	m:1,
四十五分	t:3,
四十五点一万	m:1,
四十五点五亿	m:1,
四十五点四亿	m:1,
四十五点四八亿	m:1,
四十亿	m:3,
四十八	m:19,
四十八万	m:1,
四十八亿	m:1,
四十六	m:13,
四十六万	m:1,
四十六点八六	m:1,
四十几	m:1,
四十分	t:1,m:2,
四十四	m:6,
四十四亿	m:1,
四十四分	t:1,
四十四点七万	m:1,
四十四点二五亿	m:1,
四十点三亿	m:1,
四十点四万	m:1,
四千	j:1,m:33,
四千一百万	m:3,
四千一百五十二万	m:1,
四千七百	m:2,
四千七百二十	m:1,
四千万	m:2,
四千三百一十一	m:2,
四千三百二十	m:1,
四千九百	m:1,
四千九百二十五亿	m:1,
四千五百	m:1,
四千五百万	m:3,
四千五百三十	m:1,
四千八百	m:2,
四千八百九十	m:2,
四千六百	m:4,
四千六百亿	m:1,
四千四百二十八万	m:1,
四千零四十九	m:1,
四又四分之一	m:1,
四合庄	ns:1,
四合院	n:17,
四周	s:9,f:90,n:1,
四周围	f:1,
四围	f:2,
四国	ns:2,
四国岛	ns:1,
四增四减	j:3,
四壁	n:11,
四处	d:91,
四处奔波	l:16,
四大	j:3,
四大发明	n:4,
四大名著	n:1,
四嫂	nr:1,
四季	n:42,
四季如春	l:2,
四季常青	l:1,
四季度	t:2,
四季豆	n:1,
四季青	ns:1,nz:1,
四季青村	ns:3,
四安镇	ns:1,
四定	j:5,
四定两审	j:1,
四害	j:5,
四家屯村	ns:1,
四射	v:1,
四小	j:2,
四小龙	j:1,
四川	ns:650,
四川人	n:3,
四川省	ns:194,
四川籍	n:2,
四川队	nt:29,n:2,
四平	nr:1,ns:10,
四平乡	ns:3,
四平八稳	i:4,
四平市	ns:2,
四库	nz:15,
四座宾朋	l:1,
四强	nr:1,
四心	j:1,
四快	j:3,
四慢	j:1,
四战	n:3,
四散	v:2,
四新	nr:2,
四方	n:72,
四方八面	l:1,
四方区	ns:1,
四方街	ns:1,
四方面军	nt:1,
四旁	j:2,
四日	t:55,
四旧	j:2,
四时	t:7,
四明	ns:1,
四明山	ns:1,
四星	n:1,
四星级	b:10,
四月	t:195,
四月份	t:5,
四月八	t:1,
四有	j:31,
四朵金花	l:2,
四步曲	n:1,
四残	j:1,
四毛	nz:1,
四民	nr:5,
四洲	nz:1,
四流	b:1,
四流中路	ns:1,
四海	s:1,nr:4,nz:1,n:24,
四清	nr:1,j:1,
四点	t:3,
四点一亿	m:1,
四点七	m:1,
四点七万	m:1,
四点三九亿	m:1,
四点三亿	m:1,
四点九三万	m:1,
四点二	m:1,
四点二七亿	m:1,
四点二万	m:1,
四点五	m:1,
四点五万	m:1,
四点五亿	m:3,
四点六	m:2,
四点半	t:1,
四点四万	m:1,
四点四三万	m:1,
四点四四亿	m:1,
四点钟	t:1,
四热	j:1,
四爷	n:3,
四环	ns:2,nz:1,
四环东路	ns:1,
四环素	n:1,
四环路	ns:1,
四百	m:53,
四百七十三	m:2,
四百万	m:6,
四百三十	m:1,
四百三十一	m:1,
四百三十一亿	m:1,
四百三十万	m:1,
四百三十四点八六	m:1,
四百九十一	m:1,
四百九十五	m:1,
四百九十八	m:1,
四百九十四	m:1,
四百二十五亿	m:1,
四百二十亿	m:1,
四百五十	m:11,
四百五十一	m:1,
四百五十万	m:1,
四百五十二	m:2,
四百亿	m:2,
四百八十	m:2,
四百八十九点九亿	m:1,
四百八十六	m:1,
四百六十	m:1,
四百六十七	m:1,
四百六十二	m:2,
四百六十五	m:1,
四百四十	m:1,
四百四十八	m:1,
四百零三亿	m:1,
四百零二	m:1,
四百零五	m:2,
四百零八	m:1,
四百零八亿	m:1,
四百零六万	m:1,
四皓	nr:5,
四益	nr:1,
四盐矿	ns:1,n:1,
四目半	m:1,
四眼井	ns:1,
四知	j:1,
四稳四进	l:1,
四突破	j:1,
四站村	ns:1,
四站镇	ns:1,
四等	b:1,
四箴	nr:4,
四级	b:6,
四级一户	j:1,
四级品	n:1,
四纵	j:3,
四翠	nr:2,
四肢	n:13,
四自	j:2,
四自三不见	j:1,
四色菊府	ns:1,
四节制	n:1,
四荒	j:42,n:1,
四药	j:4,
四角	s:1,
四言	nz:1,n:1,
四言诗	n:1,
四起	v:5,
四跨	j:3,
四蹄	n:2,
四轮	b:1,
四轮车	n:1,
四轴挠性	n:1,
四边	n:1,
四边地	n:1,
四运	j:1,
